video_id,title,channel_title,category_id,views,likes,dislikes,comment_total,date
xo2B67vz4HA,Small Hands Samsung Galaxy Note 8 Review,Linus Tech Tips,28,626419,20553,1033,2138,13.09
Zy6vBxqlapw,Kelly Clarkson - Love So Soft [Official Video],Kelly Clarkson,10,3026138,76495,2880,6414,13.09
un75cup_EKs,Last Night of the Proms is even better with subtitles,John Plunkett,23,2217,14,1,7,13.09
RBRsCtVo8J8,ELEPHANT IN THE ROOM,KickThePj,1,104056,16458,32,1263,13.09
pAsN4lSa7O0,Blake Shelton - I'll Name The Dogs (Official Music Video),Blake Shelton,10,1851397,24773,2844,2242,13.09
VCVjbrt30tY,Fifth Harmony - Deliver,FifthHarmonyVEVO,10,3994782,291371,11625,24235,13.09
syBlo0z4aDI,[SEVENTEEN] GOING SEVENTEEN EP.14,SEVENTEEN,10,204310,19566,57,1727,13.09
AdOSUIXlI0I,George Michael - Fantasy (Audio) ft. Nile Rodgers,georgemichaelVEVO,10,737567,10261,802,1232,13.09
LyrQog0JXOA,Young Thug & Carnage: Young Martha Homie ft Meek Mill [Official Music Video],Young Thug,24,713480,24229,673,2204,13.09
PPg1gN_ey2o,Liza Koshy's Dream Office Makeover | OMG We're Coming Over | Mr. Kate,Mr. Kate,26,2450950,176104,1017,6257,13.09
vrW88AC_a8g,Straight From : Serge Aurier,Bros. Stories,17,57819,682,29,147,13.09
lBspB4K-F-c,American Horror Story: CULT BEE HIVE,Madeyewlook,26,599742,29851,299,453,13.09
7KHvKzpsQrA,Graham Norton Compares His Show With Stephen's,The Late Show with Stephen Colbert,24,1655312,23960,455,2777,13.09
KuPGRc6EKCo,WE MIGHT HAVE TO EVACUATE!,Charles and Allie - CTFxC,22,220053,6740,853,1455,13.09
8TsNkgW2ox0,Foo Fighters - The Line (Audio),foofightersVEVO,10,657439,24309,390,1783,13.09
ZXvbz8cqafM,Taylor Swift NOW Presents: See What Taylor’s Up To NOW | AT&T,AT&T,10,836133,19314,1206,0,13.09
e7HuSTp_2rA,James Blunt as Chief Blunt Officer at Tinder,Tinder,24,59384,209,12,19,13.09
G6LbbzXBwVQ,COME SHOPPING WITH ME + HAUL: HOMESENSE EDITION | Hello October Vlog | AD,HelloOctoberxo,26,74896,2606,93,240,13.09
rAh_16nooZA,"ONLINE SHOPPING HAUL 2017! (with me, a shopaholic)",Amber Scholl,26,384624,21301,353,1559,13.09
w_tHH-7qNKE,NARS PowerMatte Liquid Lipstick Try On and Review,pixiwoo,26,79826,3740,52,375,13.09
-1fzGnFwz9M,9 Things You Need To Know About Kittens - Simon's Cat | 101,Simon's Cat,15,189372,7070,112,288,13.09
WE6WC_BVZ4Q,Jacob Rees-Mogg Says That He Opposes Abortion and Same-Sex Marriage | Good Morning Britain,Good Morning Britain,24,319276,4939,3627,0,13.09
T9Lq2RNABTc,THE ULTIMATE AMY WINEHOUSE MAKEUP TUTORIAL with Guest Artist Valli O’Reilly,Lisa Eldridge,26,185604,8689,202,492,13.09
E2zIK6ktxIk,"Oscar De La Hoya On Why Mayweather vs McGregor Was Disrespectful To Boxing, Predicts Canelo vs GGG",Breakfast Club Power 105.1 FM,24,538884,4610,1276,3651,13.09
vOrHkqjQ46s,COUPLES IT PRANK *CLOWN*,PointlessBlogVlogs,24,659862,43887,593,342,13.09
zFNapd-oPd8,WTF HAVE I BEEN SENT? MY MOST EPIC UNBOXING YET - THE QUEEN EDITION!,Patricia Bright,26,338544,16458,217,2527,13.09
OdbMKQGPQ5U,(ZO) Lonzo Ball - Melo Ball 1 Ft. Kenneth Paige,HIPHOPNMORE,10,445180,5189,313,502,13.09
VOvSXVkQw3g,The Cast of “It” Rates Everyday Scary Things | Teen Vogue,Teen Vogue,24,288843,8899,55,544,13.09
9cEk9D1eI1k,Howell and Lester's KITCHEN NIGHTMARES - Overcooked!,DanAndPhilGAMES,20,900916,75199,254,7395,13.09
hcRMFc3ivgM,Teen Who Anthony Weiner Sexted Comes Forward: 'I Was Disgusted.',Inside Edition,25,60191,972,76,312,13.09
_9gaF8to7Fg,Triple Chocolate Caramel Banana Dessert  | How To Cook That,How To Cook That,26,149811,5737,87,1439,13.09
lvZCzP-7JV8,Lil Durk - Goofy ft. Future & Jeezy (Official Music Video),Lil Durk,10,291531,7401,251,585,13.09
MPH0kUixvyo,MENDY LOVES HOME DEBUT | POST MATCH INTERVIEW | CITY 5-0 LIVERPOOL,Man City,17,87063,2203,18,351,13.09
HjMTqZA6un8,It - Movie Review,Chris Stuckmann,24,1055582,39081,842,4809,13.09
IyDwZVvdN9M,My FIANCÉ Buys My Outfits! OMG! Shopping Challenge 2017! Natalies Outlet,Natalies Outlet,24,803941,27542,553,2512,13.09
mG7GBGcABYQ,How to pronounce German Car Names,Speed Comparer,2,85630,521,35,99,13.09
PbGSiJ9iat8,U2 - You’re The Best Thing About Me (Lyric Video),U2VEVO,10,1868689,31842,1395,2798,13.09
n2Um-NOD6uw,Hoffenheim vs. Bayern München - The Fastest Goal and Late Lewandowski Strike,Bundesliga,17,56949,1129,19,111,13.09
OI4W8SJOVt8,Let's Play South Park The Fractured But Whole Part 1: CHARACTER CREATION AND DIFFICULTY SLIDER,Eurogamer,20,467118,1474,385,310,13.09
GA-Ct46xL7k,Massive Hurricane Irma threatens Florida and beyond,USA TODAY,25,828608,2935,599,2113,13.09
StU-61439s0,"Frank Lampard Back At Cobham, The Best El Rondo Ever And This Week At Training | Chelsea Unseen",Chelsea Football Club,17,181598,3370,41,199,13.09
mG6_nlJPNcM,iPhone X: How The Newest iPhone Came To Be | WIRED,WIRED,28,364765,9537,1270,1629,13.09
YAD1gCeYzoQ,Real talk with Afrojack about pre-recorded sets,Laidback Luke,10,64273,3756,32,843,13.09
4S_9IWKVuVU,Welcome Back Bam!,Element,17,1368378,38304,581,2762,13.09
TO0JueyL1Qc,Carpool Karaoke: Shakira + Trevor Noah,Shakira,22,62161,1709,20,125,13.09
T6lon9-8Fck,Magic: The Gathering Arena World Premiere Stream,Magic: The Gathering,20,181645,2399,374,1300,13.09
DmM6G4BvotE,Pregnant Day Out! #Ad,SprinkleofChatter,22,129516,5166,221,339,13.09
Vjbqe7agCz0,This tiny modular home adapts to your moods,The Verge,28,503997,15015,1147,1319,13.09
wvjBdW6CyAM,Cookie Dough Sandwich Cookies! | Cupcake Jemma,CupcakeJemma,26,118932,5296,51,255,13.09
Fp77pujdLMM,Kevin Gates - Had To [Official Audio],kevingatesTV,10,854299,26749,548,2233,13.09
UX7bxe2whlw,Gary Clark Jr. & Junkie XL - Come Together (Justice League OST),Matches Malone,10,105687,4819,35,354,13.09
Q0RVBTb6wTQ,Game Theory: How Zelda Breath of the Wild SOLVES The Zelda Timeline!,The Game Theorists,20,2214471,85209,4165,18085,13.09
WNZTec6BbOU,Out Loud (Lyric Video),The Gabbie Show,26,4690194,505334,13072,83992,13.09
lo8QsWGWnEg,Don Williams 1978,CMA Country Music Association,10,10139,113,0,18,13.09
NPovS8i2WDo,SINGING YOUR QUESTIONS 7,SarahClose1,10,81262,6822,120,431,13.09
KlnLDOUVbtA,Film Theory: How Wonder Woman FAILED Us!,The Film Theorists,1,1997363,69424,5278,16930,13.09
nYwhZwA9JZo,5 Easy & Creative Avocado Recipes | CHEAP CLEAN EATS,blogilates,26,70042,5632,33,307,13.09
1cnBJYystA0,SHOPPING IN STOCKHOLM WITH ANNA | Lily Pebbles,Lily Pebbles,26,104581,3763,106,254,13.09
tI311Dz5_As,Bojack Horseman: Unlucky in Love,ScreenPrism,1,54723,2317,51,197,13.09
JQzMUNt7AfQ,The xx cover My Love by Justin Timberlake in the Live Lounge,BBC Radio 1,10,255648,5970,112,178,13.09
WrsFXgQk5UI,Lil Uzi Vert - XO Tour Llif3 (Official Music Video),LIL UZI VERT,22,17521230,437405,25272,72329,13.09
dLJFGq7uwb8,Trying New Makeup Products,Tina Yong,26,167243,8387,147,453,13.09
zKDPrpJEGBY,The Square - Official Trailer,Magnolia Pictures & Magnet Releasing,1,126475,937,40,46,13.09
G8jxAKmojxY,St. Vincent - Los Ageless (official audio),St. Vincent,10,311056,4939,318,471,13.09
Tj08Ni3tklw,Beck - Up All Night,BeckVEVO,10,740296,16644,789,1424,13.09
BFlk1LehjwA,How Fast Do Tails’ Tails Gotta Go To Fly? (Because Science w/ Kyle Hill),Nerdist,24,149777,6768,92,793,13.09
Wgs2ahWHjHQ,James Blunt - California [Official Lyric Video],James Blunt,10,278555,12005,165,330,13.09
scIizw2asro,Bill Skarsgård's Demonic “IT Smile  - CONAN on TBS,Team Coco,23,1796205,26393,464,2278,14.09
XpVt6Z1Gjjo,1 YEAR OF VLOGGING -- HOW LOGAN PAUL CHANGED YOUTUBE FOREVER!,Logan Paul Vlogs,24,5457215,349832,17471,52478,14.09
CYoRmfI0LUc,"Hello, world. Meet our baby girl: Alexis Olympia Ohanian, Jr.",Alexis Ohanian,28,1109739,11238,1809,3626,14.09
jt2OHQh0HoQ,"Live Apple Event - Apple September Event 2017 - iPhone 8, iPhone X, iOS 11 - Apple Keynote",Apple Event,28,7920718,81587,14433,1460,14.09
sjlHnJvXdQs,iPhone X (parody),jacksfilms,23,2083895,128378,1136,8733,14.09
hlBAN-vY7y4,Buying Things For The House & Getting Hurt | Tanya Burr,Tanya Burr,26,193416,7410,212,472,14.09
xHvVhhFvLtY,SPIKED by a Sea Urchin?,Brave Wilderness,15,1398012,35862,619,6241,14.09
WYYvHb03Eog,Apple iPhone X first look,The Verge,28,3654631,30830,6099,16709,14.09
F4ELqraXx-U,Lana Del Rey - White Mustang (Official Video),LanaDelReyVEVO,10,1568532,174682,2162,19186,14.09
NsjsmgmbCfc,Baby Name Challenge!,Sprinkleofglitter,26,153181,9241,134,907,14.09
0eKdNcP4xrM,"SOY PABLO Extended Trailer  -- A Bad Lip Reading of Narcos, a Netflix Original Series",Bad Lip Reading,23,504620,29196,457,2233,14.09
zgLtEob6X-Q,Honest Trailers - The Mummy (2017),Screen Junkies,1,1341911,33110,1035,4709,14.09
YPVcg45W0z4,My DNA Test Results! I'm WHAT?!,emmablackery,24,197058,14771,224,1257,14.09
YSVlSmZWzm0,The real reason To Kill A Mockingbird became so famous,Vox,25,380211,11550,1284,1778,14.09
yuwp7x_IiZ4,playing with old fridges -  public information film 1970s UK advert,BlytheWorld1972,1,27927,169,3,85,14.09
_ANP3HR1jsM,ATTACKED BY A POLICE DOG!!,RomanAtwoodVlogs,22,1637505,76339,936,6052,14.09
gFIUXqcOulA,Flinch w/ Fifth Harmony,The Late Late Show with James Corden,24,743189,28799,609,1980,14.09
T_PuZBdT2iM,getting into a conversation in a language you don't actually speak that well,ProZD,1,1805172,72614,1714,4056,14.09
uBGECC5U09Q,Everything Wrong With Alien: Covenant In 16 Minutes Or Less,CinemaSins,1,1461311,35310,1062,6077,14.09
